ID, Source RA (Degrees), Source Dec (Degrees), Source Type, Source MSA Disp (meters), Source MSA Spat (meters), Aperture PA (Degrees), Fiducial RA (Degrees), Fiducial Dec (Degrees), V2 (arcsec), V3 (arcsec), Quadrant, Column (Disp), Row (Spat), Offset (x), Offset (y), NRS1 Min Wave, NRS1 Max Wave, NRS2 Min Wave, NRS2 Max Wave
7,237.96618000,19.17811000,Primary,0.025095,0.017700,257.9957,237.95693755,19.15814860,300.5260,-436.3304,4,196,52,0.676,0.888,-1.00000000,+3.04416180,-2.00000000,-2.00000000
22,237.93839000,19.18475000,Primary,0.041755,-0.015875,257.9957,237.95693755,19.15814860,326.1200,-530.3839,3,355,128,0.427,0.786,-1.00000000,-2.00000000,-2.00000000,-2.00000000
50,237.93198000,19.16245000,Primary,0.012810,-0.030458,257.9957,237.95693755,19.15814860,406.7618,-509.9419,3,79,57,0.745,0.106,-1.00000000,+2.66350698,+2.82753253,-2.00000000
58,237.95829170,19.17820560,Primary,0.027375,0.007590,257.9957,237.95693755,19.15814860,313.4035,-459.8635,4,218,3,0.420,0.208,-1.00000000,+3.09401536,-2.00000000,-2.00000000
65,237.93691670,19.18393060,Primary,0.041021,-0.017983,257.9957,237.95693755,19.15814860,331.1501,-533.2989,3,348,118,0.433,0.426,-1.00000000,-2.00000000,-2.00000000,-2.00000000
67,237.93883330,19.15821390,Primary,0.005105,-0.023004,257.9957,237.95693755,19.15814860,408.6005,-482.1494,3,6,93,0.329,0.718,-1.00000000,+2.47139931,+2.63554215,-2.00000000
70,237.93937500,19.15000560,Primary,-0.006338,-0.024652,257.9957,237.95693755,19.15814860,433.4380,-466.0306,1,347,85,0.700,0.678,-1.00000000,+2.16738415,+2.33150172,-2.00000000
78,237.94575000,19.13944720,Primary,-0.022642,-0.019541,257.9957,237.95693755,19.15814860,455.9008,-428.4735,1,192,110,0.385,0.755,-1.00000000,+1.74426627,+1.90846276,-2.00000000
80,237.94679170,19.16485000,Primary,0.012062,-0.010991,257.9957,237.95693755,19.15814860,374.4960,-470.3085,3,72,152,0.574,0.743,-1.00000000,+2.66816616,+2.83248377,-2.00000000
95,237.96054170,19.17431390,Primary,0.021377,0.009337,257.9957,237.95693755,19.15814860,321.8490,-446.3164,4,161,11,0.282,0.790,-1.00000000,+2.93793130,-2.00000000,-2.00000000
98,237.96370830,19.17715560,Primary,0.024447,0.014238,257.9957,237.95693755,19.15814860,307.6479,-441.9632,4,190,35,0.515,0.878,-1.00000000,+3.02374887,-2.00000000,-2.00000000
99,237.96370830,19.17715560,Contaminant,0.024447,0.014238,257.9957,237.95693755,19.15814860,307.6479,-441.9632,4,190,35,0.515,0.878,-1.00000000,+3.02374887,-2.00000000,-2.00000000
102,237.96675000,19.17797780,Primary,0.024756,0.018395,257.9957,237.95693755,19.15814860,299.9884,-434.4084,4,193,56,0.448,0.305,-1.00000000,+3.03671241,-2.00000000,-2.00000000
154,237.98916670,19.14696940,Primary,-0.024520,0.038401,257.9957,237.95693755,19.15814860,359.7664,-313.1593,2,175,154,0.606,0.554,-1.00000000,+1.74517286,+1.90998900,-2.00000000
155,237.98812500,19.14675560,Primary,-0.024522,0.036985,257.9957,237.95693755,19.15814860,362.1777,-315.8667,2,175,147,0.589,0.599,-1.00000000,+1.74411178,+1.90891743,-2.00000000
158,237.98629170,19.13811940,Primary,-0.035968,0.032128,257.9957,237.95693755,19.15814860,392.3217,-306.0193,2,66,123,0.577,0.713,-1.00000000,-1.00000000,-1.00000000,-2.00000000
169,237.98191670,19.15222500,Primary,-0.015183,0.030506,257.9957,237.95693755,19.15814860,355.4026,-343.9322,2,264,115,0.570,0.771,-1.00000000,+1.98783696,+2.15259290,-2.00000000
199,237.96863750,19.18447750,Filler,0.033249,0.022742,257.9957,237.95693755,19.15814860,276.4532,-440.3143,4,274,77,0.336,0.677,-1.00000000,-2.00000000,-2.00000000,-2.00000000
256,237.94370000,19.16866000,Filler,0.018162,-0.013823,257.9957,237.95693755,19.15814860,367.7116,-486.2041,3,130,138,0.683,0.836,-1.00000000,+2.82500815,+2.98928690,-2.00000000
267,237.96489000,19.18969000,Filler,0.041477,0.019455,257.9957,237.95693755,19.15814860,266.3676,-460.6325,4,352,61,0.726,0.531,-1.00000000,-2.00000000,-2.00000000,-2.00000000
329,237.93839000,19.18475000,Contaminant,0.041755,-0.015875,257.9957,237.95693755,19.15814860,326.1200,-530.3839,3,355,128,0.427,0.786,-1.00000000,-2.00000000,-2.00000000,-2.00000000
402,237.94254170,19.18068610,Filler,0.035051,-0.011794,257.9957,237.95693755,19.15814860,331.9312,-510.9007,3,291,148,0.558,0.827,-1.00000000,-2.00000000,-2.00000000,-2.00000000
606,237.92325000,19.17212220,Filler,0.028455,-0.038669,257.9957,237.95693755,19.15814860,391.0065,-552.9040,3,228,16,0.789,0.788,-1.00000000,+3.06159449,-2.00000000,-2.00000000
616,237.98787500,19.13653610,Filler,-0.038609,0.033731,257.9957,237.95693755,19.15814860,394.6401,-298.5280,2,41,131,0.420,0.584,-1.00000000,-1.00000000,-1.00000000,-2.00000000
627,237.92370830,19.17266670,Filler,0.029079,-0.037936,257.9957,237.95693755,19.15814860,388.5335,-552.5090,3,234,20,0.729,0.391,-1.00000000,+3.07921362,-2.00000000,-2.00000000
636,237.98037500,19.14336110,Filler,-0.027034,0.025961,257.9957,237.95693755,19.15814860,385.7735,-332.8191,2,151,93,0.697,0.419,-1.00000000,-1.00000000,+1.83325672,-2.00000000
651,237.97583330,19.14732500,Filler,-0.020261,0.021224,257.9957,237.95693755,19.15814860,380.9333,-353.2848,2,216,70,0.225,0.152,-1.00000000,+1.84614718,+2.01082611,-2.00000000
682,237.93504170,19.14557500,Filler,-0.011219,-0.031382,257.9957,237.95693755,19.15814860,454.5712,-471.0344,1,301,52,0.237,0.603,-1.00000000,+2.03254628,+2.19655466,-2.00000000
944,237.96152920,19.17613690,Filler,0.023631,0.011139,257.9957,237.95693755,19.15814860,314.4827,-446.6157,4,182,20,0.748,0.645,-1.00000000,+2.99819064,-2.00000000,-2.00000000
