Number,Quasar,R.A.,decl.,z_cat,z_sys,\lambdaL_1700,i_AB,M_i(z=2),Class,Seeing,Sky
1,CTS_G18.01,00:41:31.4,-49:36:11.9,3.240,3.207,$6.50\times {10}^{46}$,16.621,-30.22,RQ,1.08,CL
2,Q0041-2638,00:43:42.7,-26:22:10.9,3.053,3.036,$1.34\times {10}^{46}$,18.328,-28.42,RQ,1.14,WI-CL/TN
3,Q0042-2627,00:44:33.5,-26:11:25.9,3.289,3.280,$1.03\times {10}^{46}$,18.663,-28.23,RQ,1.18,WI-PH
4,Q0055-269,00:57:58.1,-26:43:15.8,3.662,3.634,$3.33\times {10}^{46}$,17.475,-29.52,RQ,1.02,PH/CL
5,UM669,01:05:16.7,-18:46:41.9,3.037,3.021,$2.06\times {10}^{46}$,17.811,-28.92,RQ,1.31,CL/PH
6,J0124+0044,01:24:04.0,00:44:33.5,3.810,3.783,$1.88\times {10}^{46}$,18.099,-28.98,RQ,0.82,PH
7,UM678,02:51:40.4,-22:00:28.3,3.205,3.188,$1.72\times {10}^{46}$,18.014,-28.81,RQ,0.72,PH
8,CTS_B27.07,04:45:33.1,-40:48:42.8,3.270,3.132,$1.90\times {10}^{46}$,17.978,-28.82,RQ,0.59,PH
9,CTS_A31.05,05:17:42.1,-37:54:45.9,3.020,3.020,$1.98\times {10}^{46}$,17.824,-28.91,RQ,0.72,CL
10,CT_656,06:00:08.7,-50:40:30.1,3.130,3.125,$2.83\times {10}^{46}$,17.549,-29.24,RQ,0.70,CL
11,ALW_11,06:43:26.9,-50:41:12.9,3.090,3.079,$1.62\times {10}^{46}$,18.078,-28.69,RQ,0.63,PH
12,HE0940-1050,09:42:53.6,-11:04:26.0,3.093,3.050,$6.19\times {10}^{46}$,16.630,-30.12,RQ,0.74,CL
13,BRI 1108-0747,11:11:13.7,-08:04:03.0,3.910,3.907,$1.74\times {10}^{46}$,18.312,-28.86,RQ,0.98,TK/TN
14,CTS_R07.04,11:13:50.1,-15:33:40.2,3.370,3.351,$2.78\times {10}^{46}$,17.601,-29.36,RQ,0.94,TN
15,Q1317-0507,13:20:29.8,-05:23:34.2,3.700,3.701,$3.20\times {10}^{46}$,17.525,-29.51,RQ,0.94,CL
16,QSO J1621-0042,16:21:16.7,-00:42:48.2,3.700,3.689,$4.31\times {10}^{46}$,17.079,-29.95,RQ,0.85,TK
17,CTS_A11.09,22:53:10.7,-36:58:15.9,3.200,3.121,$2.07\times {10}^{46}$,17.815,-28.98,RQ,0.76,CL
18,PKS1937-101,19:39:57.4,-10:02:39.9,3.787,3.769,$7.27\times {10}^{46}$,16.727,-30.35,RL,0.75,CL
19,QB2000-330,20:03:24.1,-32:51:45.9,3.783,3.759,$4.26\times {10}^{46}$,17.302,-29.77,RL,0.96,CL
